sample	study_id	file_id	researcher_sample_id	transplant_type	gut_section	n_mice_in_group	days_after_transplant	acid_water_administered	import_id
c39841b318d0487eda9e0134e5c06381	S107	Sample_3728-EL-1	A1_TI	Allogeneic	Terminal ileum	5	7	Y	c39841b318d0487eda9e0134e5c06381
96cbc159535df1ce1df7239e9bf660f1	S108	Sample_3728-EL-2	A1_Ce	Allogeneic	Cecum	5	7	Y	96cbc159535df1ce1df7239e9bf660f1
0b5ea23b86f65770d95689b9767ab10e	S109	Sample_3728-EL-3	A1_TC	Allogeneic	Transverse Colon	5	7	Y	0b5ea23b86f65770d95689b9767ab10e
d9b87562f950a07171764693c2dfc34d	S110	Sample_3728-EL-4	A1_DC	Allogeneic	Descending Colon	5	7	Y	d9b87562f950a07171764693c2dfc34d
2f3b809474f7a7c4978f9527bbd74df7	S111	Sample_3728-EL-5	A2_TI	Allogeneic	Terminal ileum	5	7	Y	2f3b809474f7a7c4978f9527bbd74df7
3673057a033be6311018337f99c25122	S112	Sample_3728-EL-6	A2_Ce	Allogeneic	Cecum	5	7	Y	3673057a033be6311018337f99c25122
9942792e7f3ce9ce5410ba10a77e09c2	S113	Sample_3728-EL-7	A2_TC	Allogeneic	Transverse Colon	5	7	Y	9942792e7f3ce9ce5410ba10a77e09c2
034865aa3bf7d7a3cd630a82cc5a23e9	S114	Sample_3728-EL-8	A2_DC	Allogeneic	Descending Colon	5	7	Y	034865aa3bf7d7a3cd630a82cc5a23e9
dbdf473c9e421a727e80b359bdf91676	S115	Sample_3728-EL-9	A3_TI	Allogeneic	Terminal ileum	5	7	Y	dbdf473c9e421a727e80b359bdf91676
1f1c6a3f970cbe368b4387b4a9280d14	S116	Sample_3728-EL-10	A3_Ce	Allogeneic	Cecum	5	7	Y	1f1c6a3f970cbe368b4387b4a9280d14
72a241aea5e697733707f9f9f578fe3c	S117	Sample_3728-EL-11	A3_TC	Allogeneic	Transverse Colon	5	7	Y	72a241aea5e697733707f9f9f578fe3c
abf526d4b5f3581a02e4d92f79aee440	S118	Sample_3728-EL-12	A3_DC	Allogeneic	Descending Colon	5	7	Y	abf526d4b5f3581a02e4d92f79aee440
f0dd8f1e69a4d5da868f6bd376bfffec	S119	Sample_3728-EL-13	21A1_TI	Allogeneic	Terminal ileum	4	21	Y	f0dd8f1e69a4d5da868f6bd376bfffec
