core_id	researcher_sample_id	plate_id	well	dna_conc_ng_ul	volume_ul	spike_in_ratio	spike_in_conc_ng_per_ul	cenome_copies_per_vial	e_coli_dna_ng_per_ul	c_perfringens_dna_ng_per_ul	s_aureus_dna_ng_per_ul	e_coli_dna_ng	c_perfringens_dna_ng	s_aureus_dna_ng	e_coli_genome_copies	c_perfringens_genome_copies	s_aureus_genome_copies	ecoli_genome_mbp	c_perfringens_genome_mbp	s_aureus_genome_mbp
3728-EL-1	A1_TI	3728-EL-P1	A1	6.45943851	90	0.005	0.032297193	60000000	0.014064906	0.009958812	0.008273474	1.265841579	0.896293057	0.744612694	255501.8598	255501.8598	255501.8598	4.59	3.25	2.7
3728-EL-2	A1_Ce	3728-EL-P1	B1	6.33159472	90	0.005	0.031657974	60000000	0.013786537	0.009761709	0.008109728	1.24078832	0.878553821	0.729875482	250445.0231	250445.0231	250445.0231	4.59	3.25	2.7
3728-EL-3	A1_TC	3728-EL-P1	C1	5.10522906	90	0.005	0.025526145	60000000	0.011116225	0.007870965	0.006538956	1.000460211	0.70838686	0.588506006	201936.363	201936.363	201936.363	4.59	3.25	2.7
3728-EL-4	A1_DC	3728-EL-P1	D1	6.85683259	90	0.005	0.034284163	60000000	0.0149302	0.010571492	0.008782471	1.343717999	0.951434313	0.790422353	271220.707	271220.707	271220.707	4.59	3.25	2.7
3728-EL-5	21A1_TI	3728-EL-P1	E1	0.3222823	90	0.005	0.001611412	60000000	0.000701744	0.000496877	0.00041279	0.063156935	0.044718962	0.037151138	12747.81499	12747.81499	12747.81499	4.59	3.25	2.7
3728-EL-6	21A1_Ce	3728-EL-P1	F1	4.66357591	90	0.005	0.02331788	60000000	0.01015456	0.007190048	0.005973271	0.91391044	0.647104342	0.537594377	184466.8568	184466.8568	184466.8568	4.59	3.25	2.7
3728-EL-7	21A1_TC	3728-EL-P1	G1	3.51975538	90	0.005	0.017598777	60000000	0.007663983	0.005426568	0.004508226	0.689758514	0.488391105	0.405740302	139223.2536	139223.2536	139223.2536	4.59	3.25	2.7
3728-EL-8	21A1_DC	3728-EL-P1	H1	5.19053328	90	0.005	0.025952666	60000000	0.011301968	0.008002483	0.006648216	1.017177086	0.720223427	0.598339463	205310.5552	205310.5552	205310.5552	4.59	3.25	2.7
3728-EL-9	A2_TI	3728-EL-P1	A2	7.46584779	90	0.005	0.037329239	60000000	0.016256281	0.011510439	0.009562519	1.463065333	1.035939506	0.860626666	295310.1872	295310.1872	295310.1872	4.59	3.25	2.7
3728-EL-10	A2_Ce	3728-EL-P1	B2	4.26277532	90	0.005	0.021313877	60000000	0.009281849	0.006572116	0.005459911	0.835366454	0.591490408	0.491392032	168613.2658	168613.2658	168613.2658	4.59	3.25	2.7
